2026-07-10T10:30:06.117001 Starting download for WSM
2026-07-10T19:12:51.358437 OK 335,225 bytes -> /workspace/WSM/investor-documents/ir-wsm/f139ea38-692a-486a-ba01-6b2a86693ffc.pdf
2026-07-10T19:12:52.015323 OK 807,949 bytes -> /workspace/WSM/investor-documents/ir-wsm/2dfeda1f-7f95-4fb8-aa04-00786ec39133.pdf
2026-07-10T19:12:52.467733 OK 11,565,268 bytes -> /workspace/WSM/investor-documents/ir-wsm/williams-sonoma-annual-report-2023.pdf
2026-07-10T19:12:52.836237 OK 1,286,938 bytes -> /workspace/WSM/investor-documents/ir-wsm/wsm-20230430.pdf
2026-07-10T19:12:53.131657 OK 341,394 bytes -> /workspace/WSM/investor-documents/ir-wsm/2f62502a-f72c-44c9-9918-f67bc62ff1fe.pdf
2026-07-10T19:12:53.476303 OK 1,341,388 bytes -> /workspace/WSM/investor-documents/ir-wsm/40d4e3b8-a2e5-4ea6-8548-dc91088be92f.pdf
2026-07-10T19:12:53.960035 OK 841,528 bytes -> /workspace/WSM/investor-documents/ir-wsm/f575ccf7-1f7f-4033-a024-8bd070827845.pdf
2026-07-10T19:12:54.384306 OK 7,010,958 bytes -> /workspace/WSM/investor-documents/ir-wsm/WSM-FY24-ARS.pdf
2026-07-10T19:12:54.680699 OK 319,623 bytes -> /workspace/WSM/investor-documents/ir-wsm/5c5b7075-4f9c-4b97-8246-93193eb76480.pdf
2026-07-10T19:12:55.031356 OK 383,053 bytes -> /workspace/WSM/investor-documents/ir-wsm/24f5502e-4dc0-4c40-ac10-b839dddab2b9.pdf
2026-07-10T19:12:55.327220 OK 336,519 bytes -> /workspace/WSM/investor-documents/ir-wsm/WSM-FY-2024-Q3-10-Q.pdf
2026-07-10T19:12:55.671232 OK 935,432 bytes -> /workspace/WSM/investor-documents/ir-wsm/cac25a79-3593-4bdd-a62d-cfab57af4d8c.pdf
2026-07-10T19:12:56.128435 OK 13,983,977 bytes -> /workspace/WSM/investor-documents/ir-wsm/2025-Williams-Sonoma_-Inc-Annual-Report-and-Proxy-Statement.pdf
2026-07-10T19:12:56.706985 OK 315,746 bytes -> /workspace/WSM/investor-documents/ir-wsm/FY-2025-Q1-10-Q.pdf
2026-07-10T19:12:57.061051 OK 1,373,188 bytes -> /workspace/WSM/investor-documents/ir-wsm/a15d8dbc-984d-4870-94eb-22472634dce0.pdf
2026-07-10T19:12:57.381276 OK 369,645 bytes -> /workspace/WSM/investor-documents/ir-wsm/9ee9117a-f1c8-4c45-974e-d0b3e4801460.pdf
2026-07-10T19:12:57.993406 OK 630,772 bytes -> /workspace/WSM/investor-documents/ir-wsm/FY2018_Annual_Report_FILED.pdf
2026-07-10T19:12:58.632016 OK 747,276 bytes -> /workspace/WSM/investor-documents/ir-wsm/WS_07AR.pdf
2026-07-10T19:12:59.292357 OK 792,531 bytes -> /workspace/WSM/investor-documents/ir-wsm/WS_08AR.pdf
2026-07-10T19:13:00.034936 OK 1,179,944 bytes -> /workspace/WSM/investor-documents/ir-wsm/WS_09AR.pdf
2026-07-10T19:13:00.755318 OK 1,053,897 bytes -> /workspace/WSM/investor-documents/ir-wsm/WS_10AR.pdf
2026-07-10T19:13:01.126448 OK 1,648,253 bytes -> /workspace/WSM/investor-documents/ir-wsm/WS_11AR.pdf
2026-07-10T19:13:01.751986 OK 1,084,160 bytes -> /workspace/WSM/investor-documents/ir-wsm/WS_12AR.pdf
2026-07-10T19:13:02.096127 OK 1,320,471 bytes -> /workspace/WSM/investor-documents/ir-wsm/WS_13AR.pdf
2026-07-10T19:13:02.703349 OK 661,493 bytes -> /workspace/WSM/investor-documents/ir-wsm/WS_14AR.pdf
2026-07-10T19:13:03.271684 OK 106,456 bytes -> /workspace/WSM/investor-documents/ir-wsm/WS_15ADD_0.pdf
