insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-03-20,2026-03-24,307,383.89,117854.23,D,F,48989,False,False,True,0001123292-26-000496,https://www.sec.gov/Archives/edgar/data/936395/000112329226000496/0001123292-26-000496.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-03-20,2026-03-24,128,383.89,49137.92,D,F,48861,False,False,True,0001123292-26-000496,https://www.sec.gov/Archives/edgar/data/936395/000112329226000496/0001123292-26-000496.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-03-20,2026-03-24,582,383.89,223423.98,D,F,48279,False,False,True,0001123292-26-000496,https://www.sec.gov/Archives/edgar/data/936395/000112329226000496/0001123292-26-000496.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-03-20,2026-03-24,331,383.89,127067.59,D,F,47948,False,False,True,0001123292-26-000496,https://www.sec.gov/Archives/edgar/data/936395/000112329226000496/0001123292-26-000496.txt
SMITH GARY B,"President, CEO",2026-03-16,2026-03-18,2952,359.5273,1061324.59,D,S,293084,True,True,True,0001032553-26-000013,https://www.sec.gov/Archives/edgar/data/936395/000103255326000013/0001032553-26-000013.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-03-16,2026-03-18,2500,345.0,862500.0,D,S,197194,True,False,True,0001444157-26-000010,https://www.sec.gov/Archives/edgar/data/936395/000144415726000010/0001444157-26-000010.txt
SMITH GARY B,"President, CEO",2026-03-02,2026-03-04,2952,354.6386,1046893.15,D,S,296036,True,True,True,0001032553-26-000010,https://www.sec.gov/Archives/edgar/data/936395/000103255326000010/0001032553-26-000010.txt
SMITH GARY B,"President, CEO",2026-02-17,2026-02-19,2952,299.5113,884157.36,D,S,298988,True,True,True,0001032553-26-000008,https://www.sec.gov/Archives/edgar/data/936395/000103255326000008/0001032553-26-000008.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-02-17,2026-02-19,2500,300.1992,750498.0,D,S,199694,True,False,True,0001444157-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000144415726000007/0001444157-26-000007.txt
SMITH GARY B,"President, CEO",2026-02-02,2026-02-04,2952,265.6018,784056.51,D,S,301940,True,True,True,0001032553-26-000006,https://www.sec.gov/Archives/edgar/data/936395/000103255326000006/0001032553-26-000006.txt
SMITH GARY B,"President, CEO",2026-01-15,2026-01-20,2993,247.6475,741208.97,D,S,304892,True,True,True,0001032553-26-000004,https://www.sec.gov/Archives/edgar/data/936395/000103255326000004/0001032553-26-000004.txt
Phipps Jason,SVP Global Sales and Marketing,2026-01-15,2026-01-20,21383,247.8895,5300621.18,D,S,91765,True,False,True,0001699193-26-000002,https://www.sec.gov/Archives/edgar/data/936395/000169919326000002/0001699193-26-000002.txt
Kosaraju Sheela,SVP and General Counsel,2026-01-15,2026-01-20,382,246.23,94059.86,D,S,96131,True,False,True,0001963781-26-000004,https://www.sec.gov/Archives/edgar/data/936395/000196378126000004/0001963781-26-000004.txt
DiPerna Dino,SVP Global R&D,2026-01-15,2026-01-16,2527,246.23,622223.21,D,S,49868,True,False,True,0001998460-26-000002,https://www.sec.gov/Archives/edgar/data/936395/000199846026000002/0001998460-26-000002.txt
