2026-06-03T18:18:17.674951 Starting download for CBOE
2026-06-03T18:19:25.235820 OK 54,351 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q1-17-prepared-re.pdf
2026-06-03T18:19:26.136670 OK 1,513,442 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q1-17-presemt.pdf
2026-06-03T18:19:26.816268 OK 338,174 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-17-prepared-re.pdf
2026-06-03T18:19:27.761773 OK 1,928,122 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-17-present.pdf
2026-06-03T18:19:28.547985 OK 1,369,930 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-17-news.pdf
2026-06-03T18:19:29.123560 OK 318,879 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-17-prepared-m.pdf
2026-06-03T18:19:30.087578 OK 2,143,609 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-17-present.pdf
2026-06-03T18:19:30.761681 OK 1,077,272 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-17-news.pdf
2026-06-03T18:19:31.496760 OK 335,856 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-17-prepared-r.pdf
2026-06-03T18:19:32.471583 OK 2,410,163 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-17-present.pdf
2026-06-03T18:19:33.120399 OK 810,458 bytes -> /workspace/CBOE/investor-documents/ir-cboe/annual-report-2017.pdf
2026-06-03T18:19:34.041043 OK 2,048,192 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1q18-earnings-slides.pdf
2026-06-03T18:19:34.620993 OK 308,808 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1q18-prepared-remarks.pdf
2026-06-03T18:19:35.152775 OK 738,316 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q1-18-earnings-release-04may2018.pdf
2026-06-03T18:19:36.118969 OK 2,125,135 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-2018-earnings-presentation.pdf
2026-06-03T18:19:36.639743 OK 696,168 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-2018-earnings-release.pdf
2026-06-03T18:19:37.287116 OK 384,093 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-2018-prepared-remarks-v2.pdf
2026-06-03T18:19:37.754650 OK 327,232 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-2018-earnings-release.pdf
2026-06-03T18:19:38.512049 OK 548,949 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-2018-prepared-remarks.pdf
2026-06-03T18:19:39.371294 OK 1,564,942 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-2018-presentation.pdf
2026-06-03T18:19:39.919210 OK 849,530 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-2018-earnings-release.pdf
2026-06-03T18:19:40.511276 OK 544,828 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-2018-prepared-remarks.pdf
2026-06-03T18:19:41.321461 OK 1,465,038 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-2018-presentation.pdf
2026-06-03T18:19:42.206004 OK 1,669,851 bytes -> /workspace/CBOE/investor-documents/ir-cboe/annual-report-2018.pdf
2026-06-03T18:19:42.935956 OK 203,367 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1q-19-prepared-remarks.pdf
2026-06-03T18:19:43.761060 OK 1,204,464 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1q19-presen.pdf
2026-06-03T18:19:44.444432 OK 629,982 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q1-2019-news.pdf
2026-06-03T18:19:44.898203 OK 203,228 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-2019-news.pdf
2026-06-03T18:19:45.487420 OK 89,029 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-2019-prepared-remarks.pdf
2026-06-03T18:19:46.315100 OK 1,412,696 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-2019-presentation-v1.pdf
2026-06-03T18:19:47.073878 OK 1,395,278 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3q-19-presentation.pdf
2026-06-03T18:19:47.806888 OK 600,948 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3q19-prepared-remarks.pdf
2026-06-03T18:19:48.341622 OK 697,870 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-2019-news.pdf
2026-06-03T18:19:49.130285 OK 1,361,497 bytes -> /workspace/CBOE/investor-documents/ir-cboe/4q-19-presentation.pdf
2026-06-03T18:19:49.723316 OK 186,595 bytes -> /workspace/CBOE/investor-documents/ir-cboe/4q19-prepared-remarks.pdf
2026-06-03T18:19:50.245457 OK 700,559 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-2019-news.pdf
