2026-07-02T10:39:35.164948 Starting download for COLD
2026-07-02T10:40:25.558268 OK 269,001 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q2-2024-Press-Release.pdf
2026-07-02T10:40:26.093490 OK 880,280 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q2-2024-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:26.828946 OK 265,935 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\COLD-3Q24-Earnings-Release.pdf
2026-07-02T10:40:27.593622 OK 624,816 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\COLD-3Q24-Quarterly-Supplement.pdf
2026-07-02T10:40:28.667740 OK 420,916 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\COLD-4Q24-Earnigns-Release.pdf
2026-07-02T10:40:29.308784 OK 850,647 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q4-2024-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:29.842913 OK 606,281 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\COLD-1Q-2025-Quarterly-Supplemental.pdf
2026-07-02T10:40:30.417274 OK 352,481 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\COLD-Q1-2025-Press-Release.pdf
2026-07-02T10:40:31.010480 OK 693,091 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q2-2025-Press-Release_v3.pdf
2026-07-02T10:40:38.055966 OK 13,500,113 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q2-2025-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:38.811236 OK 580,497 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q3-2025-Press-release.pdf
2026-07-02T10:40:39.303312 OK 582,505 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q3-2025-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:39.967618 OK 274,671 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q4-2025-Press-release.pdf
2026-07-02T10:40:41.058923 OK 1,402,827 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q4-2025-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:41.439298 OK 259,470 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q1-2026-Press-release2.pdf
2026-07-02T10:40:41.882092 OK 518,188 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q1-2026-Quarterly-Supplemental-Reporting2.pdf
2026-07-02T10:40:41.884098 Done COLD. SEC=0 IR=52/52
