2026-07-10T10:24:26.746042 Starting download for NUE
2026-07-21T03:51:45.751428 OK 1,513,675 bytes -> /workspace/NUE/investor-documents/ir-nue/Q4-2025-Earnings-Call-Presentation-vF.pdf
2026-07-21T03:51:46.224254 OK 77,461 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-Earnings-tondata-Q4-2025.pdf
2026-07-21T03:51:46.777358 OK 239,720 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-and-Scrap-Price-Analysis-Q4-2025.pdf
2026-07-21T03:51:47.539095 OK 55,395,542 bytes -> /workspace/NUE/investor-documents/ir-nue/2025-Nucor-Annual-Report.pdf
2026-07-21T03:51:48.277955 OK 3,344,088 bytes -> /workspace/NUE/investor-documents/ir-nue/2026-Nucor-Proxy-Statement-2026-03-27.pdf
2026-07-21T03:51:48.649547 OK 1,827,971 bytes -> /workspace/NUE/investor-documents/ir-nue/Q1-2026-Earnings-Call-Presentation.pdf
2026-07-21T03:51:49.086501 OK 77,134 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-Earnings-Tondata-Q1-2026.pdf
2026-07-21T03:51:49.573137 OK 70,364 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-and-Scrap-Price-Analysis-Q1-2026.pdf
2026-07-21T03:51:50.226515 OK 1,149,400 bytes -> /workspace/NUE/investor-documents/ir-nue/Nucor_Q3_2023_Earnings_Call_Slide_Deck_V2.pdf
2026-07-21T03:51:50.346816 SKIP exists -> /workspace/NUE/investor-documents/ir-nue/Nucor_Q4_and_Full_Year_-23_Earnings_Call_Slide_Presentation.pdf
2026-07-21T03:51:50.998728 OK 1,133,388 bytes -> /workspace/NUE/investor-documents/ir-nue/Nucor-Q2-2024-Earnings-Call-Slide-Presentation.pdf
2026-07-21T03:51:50.999066 Done NUE. SEC=0 IR=138/138
2026-07-21T03:52:10.578507 OK 1,149,400 bytes -> /workspace/NUE/investor-documents/transcripts/undated_other_unknown_c6b6e8da.pdf
2026-07-21T03:52:11.290369 OK 1,300,719 bytes -> /workspace/NUE/investor-documents/transcripts/undated_other_Q4_9a8a2f88.pdf
2026-07-21T03:52:11.948804 OK 1,209,934 bytes -> /workspace/NUE/investor-documents/transcripts/undated_other_Q4_958d307d.pdf
2026-07-21T03:52:12.630051 OK 1,354,313 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q1_50007e60.pdf
2026-07-21T03:52:12.973600 OK 1,006,657 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q2_99cc38bb.pdf
2026-07-21T03:52:13.490641 OK 863,271 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q3_67f4c059.pdf
2026-07-21T03:52:13.835238 OK 1,236,121 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q4_b5f08ebe.pdf
2026-07-21T03:52:14.660376 OK 2,483,160 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q1_084ccbab.pdf
2026-07-21T03:52:15.301252 OK 1,199,427 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q2_fda6810e.pdf
2026-07-21T03:52:15.833494 OK 1,134,616 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q3_1ca8988c.pdf
2026-07-21T03:52:16.547460 OK 1,513,675 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q4_6dd1acfe.pdf
2026-07-21T03:52:16.942501 OK 1,827,971 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q1_2cf5771b.pdf
2026-07-21T03:52:17.548664 OK 1,149,400 bytes -> /workspace/NUE/investor-documents/transcripts/undated_other_unknown_65f35ab7.pdf
2026-07-21T03:52:18.214852 OK 1,209,934 bytes -> /workspace/NUE/investor-documents/transcripts/undated_other_unknown_1d12d7b1.pdf
2026-07-21T03:52:18.871281 OK 1,133,388 bytes -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q2_390495ca.pdf
2026-07-21T03:56:18.055050 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_other_unknown_c6b6e8da.pdf
2026-07-21T03:56:18.056693 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_other_Q4_9a8a2f88.pdf
2026-07-21T03:56:18.058461 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_other_Q4_958d307d.pdf
2026-07-21T03:56:18.059897 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q1_50007e60.pdf
2026-07-21T03:56:18.061548 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q2_99cc38bb.pdf
2026-07-21T03:56:18.062745 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q3_67f4c059.pdf
2026-07-21T03:56:18.063788 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q4_b5f08ebe.pdf
2026-07-21T03:56:18.065258 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q1_084ccbab.pdf
2026-07-21T03:56:18.068334 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q2_fda6810e.pdf
2026-07-21T03:56:18.069792 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q3_1ca8988c.pdf
2026-07-21T03:56:18.071631 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q4_6dd1acfe.pdf
2026-07-21T03:56:18.073888 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q1_2cf5771b.pdf
2026-07-21T03:56:18.076671 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_other_unknown_65f35ab7.pdf
2026-07-21T03:56:18.078612 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_other_unknown_1d12d7b1.pdf
2026-07-21T03:56:18.080458 SKIP exists -> /workspace/NUE/investor-documents/transcripts/undated_earnings_Q2_390495ca.pdf
