fund_id,fund,manager,quarter,letter_date,source_file,source_document
mountaineer,Mountaineer,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Mountaineer Partners Letter 2026-Q1.txt,_system/reference/superinvestor-letters/2026Q1/Mountaineer Partners Letter 2026-Q1.pdf
mtx-kerrisdale,Mtx Kerrisdale,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/MTX-Kerrisdale.txt,_system/reference/superinvestor-letters/2026Q1/MTX-Kerrisdale.pdf
newbrook,Newbrook,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Newbrook Q1 2026 Quarterly Letter.txt,_system/reference/superinvestor-letters/2026Q1/Newbrook Q1 2026 Quarterly Letter.pdf
norbury-performance-veng-vfin,Norbury Performance Veng Vfin,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Norbury Capital March 26 Performance update vENG vFIN 260401.txt,_system/reference/superinvestor-letters/2026Q1/Norbury Capital March 26 Performance update vENG vFIN 260401.pdf
ny-sohn-conference,Ny Sohn Conference,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/NY Sohn Conference - 2026.05.12.txt,_system/reference/superinvestor-letters/2026Q1/NY Sohn Conference - 2026.05.12.pdf
ocellus-monthly,Ocellus Monthly,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Ocellus_Monthly_Report_March_2026.txt,_system/reference/superinvestor-letters/2026Q1/Ocellus_Monthly_Report_March_2026.pdf
ocm,Ocm,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/OCM Q1 2026 Letter.txt,_system/reference/superinvestor-letters/2026Q1/OCM Q1 2026 Letter.pdf
ocq-1q2026,Ocq 1q2026,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/ocq-1q2026.txt,_system/reference/superinvestor-letters/2026Q1/ocq-1q2026.pdf
old-farm,Old Farm,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Old Farm Partners Newsletter 2026 Q1.txt,_system/reference/superinvestor-letters/2026Q1/Old Farm Partners Newsletter 2026 Q1.pdf
open-square,Open Square,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Open Square Capital Investor Letter (2026 Q1) (AI).txt,_system/reference/superinvestor-letters/2026Q1/Open Square Capital Investor Letter (2026 Q1) (AI).pdf
orso-q126,Orso Q126,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Orso Q126 Letter.txt,_system/reference/superinvestor-letters/2026Q1/Orso Q126 Letter.pdf
parnuss-cio-outlook-discerning,Parnuss Cio Outlook Discerning,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Parnuss CIO Outlook_Discerning Earnings Potential.txt,_system/reference/superinvestor-letters/2026Q1/Parnuss CIO Outlook_Discerning Earnings Potential.pdf
pavise-monthly-performance-vfinal,Pavise Monthly Performance Vfinal,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Pavise Capital Management Monthly Performance Update vFINAL 2026.03.31.txt,_system/reference/superinvestor-letters/2026Q1/Pavise Capital Management Monthly Performance Update vFINAL 2026.03.31.pdf
pernas-pernas-research,Pernas Pernas Research,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Pernas Quarterly Letters _ Pernas Research.txt,_system/reference/superinvestor-letters/2026Q1/Pernas Quarterly Letters _ Pernas Research.pdf
pertento-1q26,Pertento 1q26,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Pertento Quarterly Letter 1Q26.txt,_system/reference/superinvestor-letters/2026Q1/Pertento Quarterly Letter 1Q26.pdf
phorcycs-nlp,Phorcycs Nlp,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Phorcycs Q1 2026 Investor Letter NLP.txt,_system/reference/superinvestor-letters/2026Q1/Phorcycs Q1 2026 Investor Letter NLP.pdf
plural,Plural,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Plural_Partners_Fund_Letter_2026_Q1.txt,_system/reference/superinvestor-letters/2026Q1/Plural_Partners_Fund_Letter_2026_Q1.pdf
plustick,Plustick,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Plustick Letter Q1 2026.txt,_system/reference/superinvestor-letters/2026Q1/Plustick Letter Q1 2026.pdf
ppc,Ppc,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/PPC_Q1_2026_letter.txt,_system/reference/superinvestor-letters/2026Q1/PPC_Q1_2026_letter.pdf
praetorian-approved,Praetorian Approved,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Praetorian 2026 Q1 Investor Letter - Approved.txt,_system/reference/superinvestor-letters/2026Q1/Praetorian 2026 Q1 Investor Letter - Approved.pdf
readout,Readout,,2026Q1,2026-01-31,_system/reference/superinvestor-letters/2026Q1/Readout Capital January 2026 Update.txt,_system/reference/superinvestor-letters/2026Q1/Readout Capital January 2026 Update.pdf
reb-emff,Reb Emff,,2026Q1,2026-04-30,_system/reference/superinvestor-letters/2026Q1/REB EMFF LP April 2026.txt,_system/reference/superinvestor-letters/2026Q1/REB EMFF LP April 2026.pdf
reb-emff,Reb Emff,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/REB EMFF LP March 2026.txt,_system/reference/superinvestor-letters/2026Q1/REB EMFF LP March 2026.pdf
right-tail,Right Tail,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Right Tail Capital Investor Letter Q1 2026.txt,_system/reference/superinvestor-letters/2026Q1/Right Tail Capital Investor Letter Q1 2026.pdf
rivermont,Rivermont,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Rivermont Capital Management Q1 2026 Letter.txt,_system/reference/superinvestor-letters/2026Q1/Rivermont Capital Management Q1 2026 Letter.pdf
rowan-street-alex-kopel,Rowan Street Alex Kopel,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Rowan Street Q1 2026 Letter - Alex Kopel.txt,_system/reference/superinvestor-letters/2026Q1/Rowan Street Q1 2026 Letter - Alex Kopel.pdf
rubricquarterlyletter-1q26,Rubricquarterlyletter 1q26,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/RubricQuarterlyLetter_1Q26.txt,_system/reference/superinvestor-letters/2026Q1/RubricQuarterlyLetter_1Q26.pdf
sabrepoint,Sabrepoint,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Sabrepoint Capital Partners LP Q1 2026 Letter.txt,_system/reference/superinvestor-letters/2026Q1/Sabrepoint Capital Partners LP Q1 2026 Letter.pdf
saga-joe-frankenfield,Saga Joe Frankenfield,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Saga Partners Q1 2026 Investor Letter - Joe Frankenfield.txt,_system/reference/superinvestor-letters/2026Q1/Saga Partners Q1 2026 Investor Letter - Joe Frankenfield.pdf
saturn,Saturn,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Saturn V Capital Investor Letter 2026.Q1.txt,_system/reference/superinvestor-letters/2026Q1/Saturn V Capital Investor Letter 2026.Q1.pdf
seg,Seg,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/SEG Fund Commentary - Mar. 2026 (1).txt,_system/reference/superinvestor-letters/2026Q1/SEG Fund Commentary - Mar. 2026 (1).pdf
shipyard,Shipyard,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Shipyard Capital LP - 2026 Q1 letter.txt,_system/reference/superinvestor-letters/2026Q1/Shipyard Capital LP - 2026 Q1 letter.pdf
silver-beech-first,Silver Beech First,,2026Q1,2026-05-18,_system/reference/superinvestor-letters/2026Q1/Silver Beech - First Quarter 2026 Investor Letter (5.18.2026).txt,_system/reference/superinvestor-letters/2026Q1/Silver Beech - First Quarter 2026 Investor Letter (5.18.2026).pdf
silverringvaluepartners-2026q1-ltr,Silverringvaluepartners 2026q1 Ltr,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/SilverRingValuePartners_2026Q1_Ltr.txt,_system/reference/superinvestor-letters/2026Q1/SilverRingValuePartners_2026Q1_Ltr.pdf
situationalawareness,Situationalawareness,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/situationalawareness.txt,_system/reference/superinvestor-letters/2026Q1/situationalawareness.pdf
sorengo-to-shareholders-v2,Sorengo To Shareholders V2,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Sorengo 2025_Letter_to_Shareholders_FINAL_V2.txt,_system/reference/superinvestor-letters/2026Q1/Sorengo 2025_Letter_to_Shareholders_FINAL_V2.pdf
southpoint,Southpoint,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Southpoint 1Q 2026 Letter.txt,_system/reference/superinvestor-letters/2026Q1/Southpoint 1Q 2026 Letter.pdf
starfort,Starfort,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Starfort Letter (1) Q1 2026.txt,_system/reference/superinvestor-letters/2026Q1/Starfort Letter (1) Q1 2026.pdf
starfort,Starfort,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Starfort Letter Q1 2026.txt,_system/reference/superinvestor-letters/2026Q1/Starfort Letter Q1 2026.pdf
steamboat-first,Steamboat First,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Steamboat_2026_First_Quarter_Letter.txt,_system/reference/superinvestor-letters/2026Q1/Steamboat_2026_First_Quarter_Letter.pdf
sunriver,Sunriver,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Sunriver 2026 Q1 Letter.txt,_system/reference/superinvestor-letters/2026Q1/Sunriver 2026 Q1 Letter.pdf
tcm,Tcm,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/TCM 2026 Q1 Letter.txt,_system/reference/superinvestor-letters/2026Q1/TCM 2026 Q1 Letter.pdf
tempest-1q26,Tempest 1q26,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Tempest Investor Letter - 1Q26.txt,_system/reference/superinvestor-letters/2026Q1/Tempest Investor Letter - 1Q26.pdf
tensile,Tensile,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Tensile Capital Q1 2026 Letter.txt,_system/reference/superinvestor-letters/2026Q1/Tensile Capital Q1 2026 Letter.pdf
tensilecapital-ai-ecomm,Tensilecapital Ai Ecomm,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/TensileCapital_2026-04-29_AI-EComm.txt,_system/reference/superinvestor-letters/2026Q1/TensileCapital_2026-04-29_AI-EComm.pdf
third-point-mlhl,Third Point Mlhl,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Third_Point_Q1_2026_Investor_Letter_MLHL.txt,_system/reference/superinvestor-letters/2026Q1/Third_Point_Q1_2026_Investor_Letter_MLHL.pdf
upslope-2026q1,Upslope+ +2026q1+,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Upslope+-+2026Q1+Letter.txt,_system/reference/superinvestor-letters/2026Q1/Upslope+-+2026Q1+Letter.pdf
valley-forge,Valley Forge,,2026Q1,2025-12-31,_system/reference/superinvestor-letters/2026Q1/Valley Forge Fund Commentary - Dec. 2025 (8).txt,_system/reference/superinvestor-letters/2026Q1/Valley Forge Fund Commentary - Dec. 2025 (8).pdf
venator,Venator,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Venator March-2026-Final.txt,_system/reference/superinvestor-letters/2026Q1/Venator March-2026-Final.pdf
venezuela,Venezuela+,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Venezuela+Update+5+Jan+2026.txt,_system/reference/superinvestor-letters/2026Q1/Venezuela+Update+5+Jan+2026.pdf
vu-mr,Vu Mr,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/VU_MR_202604.txt,_system/reference/superinvestor-letters/2026Q1/VU_MR_202604.pdf
west-hall-partner,West Hall Partner,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/West Hall 1Q 2026 Partner Letter.txt,_system/reference/superinvestor-letters/2026Q1/West Hall 1Q 2026 Partner Letter.pdf
westerly,Westerly,,2026Q1,2026-04-30,_system/reference/superinvestor-letters/2026Q1/Westerly April 2026 Update and Letter.txt,_system/reference/superinvestor-letters/2026Q1/Westerly April 2026 Update and Letter.pdf
western-standard,Western Standard,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Western Standard.txt,_system/reference/superinvestor-letters/2026Q1/Western Standard.pdf
whats-going-on-in,Whats Going On In,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/whats-going-on-in-private-credit.txt,_system/reference/superinvestor-letters/2026Q1/whats-going-on-in-private-credit.pdf
whetstone,Whetstone,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Whetstone_Q1_2026.txt,_system/reference/superinvestor-letters/2026Q1/Whetstone_Q1_2026.pdf
white-brook-first,White Brook First,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/White Brook Capital First Quarter 2026 Commentary.txt,_system/reference/superinvestor-letters/2026Q1/White Brook Capital First Quarter 2026 Commentary.pdf
y2,Y2,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Y2_Capital_Newsletter_Mar_2026.01.txt,_system/reference/superinvestor-letters/2026Q1/Y2_Capital_Newsletter_Mar_2026.01.pdf
adp,Adp,,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/ADP_Presentation_compact.txt,_system/reference/superinvestor-letters/2026Q2/ADP_Presentation_compact.pdf
blue-creek-china,Blue Creek China,,2026Q2,2026-05-31,_system/reference/superinvestor-letters/2026Q2/Blue Creek China Fund May 2026 Newsletter.txt,_system/reference/superinvestor-letters/2026Q2/Blue Creek China Fund May 2026 Newsletter.pdf
caius-master,Caius Master,,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/Caius Capital Master Fund_Investor Letter_May 2026 (Prospect).txt,_system/reference/superinvestor-letters/2026Q2/Caius Capital Master Fund_Investor Letter_May 2026 (Prospect).pdf
hfa,Hfa,,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/HFA-050626.txt,_system/reference/superinvestor-letters/2026Q2/HFA-050626.pdf
hfa,Hfa,,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/HFA-060326.txt,_system/reference/superinvestor-letters/2026Q2/HFA-060326.pdf
hfa,Hfa,,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/HFA-061726.txt,_system/reference/superinvestor-letters/2026Q2/HFA-061726.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/KEDM-2026.05.03-Vol.272-The-dire-state-of-US-consumer.txt,_system/reference/superinvestor-letters/2026Q2/KEDM-2026.05.03-Vol.272-The-dire-state-of-US-consumer.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/KEDM-2026.06.14-Vol.278-Mid-Year-Thematic-Review.txt,_system/reference/superinvestor-letters/2026Q2/KEDM-2026.06.14-Vol.278-Mid-Year-Thematic-Review.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/KEDM-Lite-2026.04.28-Vol.11.txt,_system/reference/superinvestor-letters/2026Q2/KEDM-Lite-2026.04.28-Vol.11.pdf
p2am-event,P2am Event,,2026Q2,2026-04-30,_system/reference/superinvestor-letters/2026Q2/P2AM Event Fund April 2026.txt,_system/reference/superinvestor-letters/2026Q2/P2AM Event Fund April 2026.pdf
sageone-india,Sageone India,,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/SageOne India.txt,_system/reference/superinvestor-letters/2026Q2/SageOne India.pdf
sohn-hk-conference,Sohn Hk Conference,,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/Sohn HK Conference - 2026.05.20.txt,_system/reference/superinvestor-letters/2026Q2/Sohn HK Conference - 2026.05.20.pdf
sohn-investment-conference,Sohn Investment Conference,,2026Q2,2026-06-30,_system/reference/superinvestor-letters/2026Q2/Sohn Investment Conference 2026 (1).txt,_system/reference/superinvestor-letters/2026Q2/Sohn Investment Conference 2026 (1).pdf
readme,Readme,,2026Q2,2026-06-09,_system/reference/superinvestor-letters/README.md,_system/reference/superinvestor-letters/README.md
