fund_id,fund,manager,quarter,letter_date,source_file,source_document
engle,Engle,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Engle Capital - Q1 2026 Quarterly Letter.txt,_system/reference/superinvestor-letters/2026Q1/Engle Capital - Q1 2026 Quarterly Letter.pdf
farlight,Farlight,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/farlight Q1 2026.txt,_system/reference/superinvestor-letters/2026Q1/farlight Q1 2026.pdf
findell-findell,Findell Findell,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Findell Q1_2026_Findell_Capital_Letter.txt,_system/reference/superinvestor-letters/2026Q1/Findell Q1_2026_Findell_Capital_Letter.pdf
fontaine-investorletter,Fontaine Investorletter,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Fontaine_2026_Q1_InvestorLetter.txt,_system/reference/superinvestor-letters/2026Q1/Fontaine_2026_Q1_InvestorLetter.pdf
fourth-sail-funds,Fourth Sail Funds,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Fourth Sail Funds Investor Newsletter 2026_Q1.txt,_system/reference/superinvestor-letters/2026Q1/Fourth Sail Funds Investor Newsletter 2026_Q1.pdf
fourthstone-master,Fourthstone Master,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Fourthstone 2602 Master Fund Commentary_tear sheet.txt,_system/reference/superinvestor-letters/2026Q1/Fourthstone 2602 Master Fund Commentary_tear sheet.pdf
gallo,Gallo,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Gallo Partners - 2026 Investor Letter.txt,_system/reference/superinvestor-letters/2026Q1/Gallo Partners - 2026 Investor Letter.pdf
gallo-research-iran-playbook,Gallo Research Iran Playbook,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Gallo Partners Research - Iran Investor Playbook - Non-Investor Version.txt,_system/reference/superinvestor-letters/2026Q1/Gallo Partners Research - Iran Investor Playbook - Non-Investor Version.pdf
gallo-research-regulatory-investing,Gallo Research Regulatory Investing,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Gallo Partners Research - Regulatory Investing in 2026 and Beyond.txt,_system/reference/superinvestor-letters/2026Q1/Gallo Partners Research - Regulatory Investing in 2026 and Beyond.pdf
gator-gfp-combined,Gator Gfp Combined,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Gator 1Q-20260428 GFP Letter-combined.txt,_system/reference/superinvestor-letters/2026Q1/Gator 1Q-20260428 GFP Letter-combined.pdf
