ticker,status,priority,notes,created_at,updated_at,last_captured_at,captured_count,last_note,search_url
LMNR,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+LMNR
LSEG,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+LSEG
META,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+META
MIAX,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+MIAX
MRSH,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+MRSH
MSB,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+MSB
MSTR,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+MSTR
MTA,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+MTA
NBIS,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+NBIS
NDAQ,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+NDAQ
NRP,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+NRP
NVDA,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+NVDA
NZX.NZ,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+NZX.NZ
OR,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+OR
OTCM,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+OTCM
