month,etf_implied_flow_jpym,jita_equity_net_flow_bn_jpy,jita_etf_net_flow_bn_jpy,tag,note
2022-04-01,0.0,2893.87,-64.95,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2022-05-01,0.0,8890.09,1220.56,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2022-06-01,0.0,9743.58,1575.03,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2022-07-01,0.0,2875.2,-1538.24,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2022-08-01,0.0,2387.65,-2782.94,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2022-09-01,0.0,12880.05,2969.62,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2022-10-01,0.0,7220.72,1312.48,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2022-11-01,0.0,1789.11,-3648.59,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2022-12-01,0.0,13941.4,2423.24,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-01-01,0.0,6602.54,558.95,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-02-01,0.0,2367.81,-1661.11,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-03-01,0.0,8071.99,1960.28,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-04-01,0.0,-1920.32,-2638.12,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-05-01,0.0,-1310.82,-888.43,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-06-01,0.0,10022.37,5171.78,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-07-01,0.0,10800.33,2352.31,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-08-01,0.0,14298.89,5041.28,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-09-01,0.0,15792.77,4413.54,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-10-01,0.0,15852.24,4414.26,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-11-01,0.0,-5224.23,-5715.15,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2023-12-01,0.0,2089.85,-934.83,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-01-01,0.0,14437.22,1330.36,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-02-01,0.0,18041.13,4190.22,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-03-01,0.0,19402.21,6602.55,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-04-01,0.0,21816.91,6709.02,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-05-01,0.0,2203.4,-12059.04,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-06-01,0.0,15522.47,497.09,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-07-01,0.0,18689.75,392.22,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-08-01,0.0,18775.68,5413.8,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-09-01,0.0,18626.59,7178.7,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-10-01,0.0,8871.16,1601.99,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-11-01,0.0,6215.99,-3956.17,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2024-12-01,0.0,3692.45,-5017.66,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-01-01,0.0,22305.9,1093.43,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-02-01,0.0,19279.34,3213.44,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-03-01,0.0,24760.18,8861.14,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-04-01,0.0,19351.71,6918.87,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-05-01,0.0,-4995.23,-14490.79,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-06-01,0.0,1401.56,-4341.47,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-07-01,0.0,-1053.13,-3506.8,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-08-01,0.0,4822.99,-2188.77,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-09-01,0.0,17186.5,4632.31,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-10-01,0.0,17585.4,5933.67,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-11-01,0.0,5759.84,-7878.06,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2025-12-01,0.0,16783.01,2234.79,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2026-01-01,0.0,27975.69,468.92,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2026-02-01,0.0,17115.56,525.55,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2026-03-01,0.0,34271.04,11073.14,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2026-04-01,225.5820000000001,11041.6,-1322.73,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2026-05-01,0.0,,,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
2026-06-01,0.0,,,[Filing/Market],JITA B-1 株式 + ETF flows (億円); etf_implied_flow from Simplex ETF NAV roll-forward
