Date,nikkei,topix,value_pbr,growth,reit,leveraged,usdjpy,value_spread
2023-09-19 15:00:00,32858.9765625,2479.322509765625,984.377685546875,567.5,1724.4130859375,20455.0,,
2023-09-19 23:00:00,,,,,,,147.74200439453125,
2023-09-20 15:00:00,32433.1171875,2458.412353515625,983.4320678710938,554.2999877929688,1715.945068359375,19940.0,,
2023-09-20 23:00:00,,,,,,,148.3209991455078,
2023-09-21 15:00:00,32268.578125,2449.450927734375,983.4320678710938,564.0,1714.6077880859375,19705.0,,
2023-09-21 23:00:00,,,,,,,147.6439971923828,
2023-09-24 15:00:00,32568.615234375,2461.8974609375,975.8671875,569.4000244140625,1708.8138427734375,20075.0,,
2023-09-24 23:00:00,,,,,,,148.4340057373047,
2023-09-25 15:00:00,32220.185546875,2447.459716796875,977.7584228515625,559.2000122070312,1709.259521484375,19625.0,,
2023-09-25 23:00:00,,,,,,,148.81100463867188,
2023-09-26 15:00:00,32181.47265625,2451.442626953125,975.8671875,567.0,1710.151123046875,19605.0,,
2023-09-26 23:00:00,,,,,,,149.0449981689453,
2023-09-27 15:00:00,31929.826171875,2441.485595703125,976.8128662109375,563.7999877929688,1693.21435546875,19275.0,,
2023-09-27 23:00:00,,,,,,,149.4980010986328,
2023-09-28 15:00:00,31949.185546875,2417.090576171875,958.8463134765625,564.7999877929688,1709.259521484375,19300.0,,
2023-09-28 23:00:00,,,,,,,149.33700561523438,
2023-10-01 15:00:00,31862.078125,2408.626953125,959.7918701171875,557.0,1699.0084228515625,19200.0,,
2023-10-01 23:00:00,,,,,,,149.5399932861328,
2023-10-02 15:00:00,31310.39453125,2367.802734375,938.988525390625,541.5,1683.854736328125,18520.0,,
2023-10-02 23:00:00,,,,,,,149.8509979248047,
2023-10-03 15:00:00,30613.533203125,2308.557861328125,904.9465942382812,525.0,1661.1240234375,17700.0,,
2023-10-03 23:00:00,,,,,,,149.19200134277344,
2023-10-04 15:00:00,31126.5,2354.8583984375,929.5324096679688,541.4000244140625,1681.180419921875,18315.0,,
2023-10-04 23:00:00,,,,,,,148.96600341796875,
2023-10-05 15:00:00,31097.46484375,2354.8583984375,932.3692626953125,543.2999877929688,1686.083251953125,18255.0,,
2023-10-05 23:00:00,,,,,,,148.46299743652344,
2023-10-08 23:00:00,,,,,,,149.16000366210938,
2023-10-09 15:00:00,31842.71875,2403.150390625,956.0094604492188,551.5,1701.6826171875,19135.0,,
2023-10-09 23:00:00,,,,,,,148.32699584960938,
2023-10-10 15:00:00,32026.61328125,2399.66552734375,952.22705078125,544.2000122070312,1688.75732421875,19345.0,,
2023-10-10 23:00:00,,,,,,,148.6280059814453,
2023-10-11 15:00:00,32549.259765625,2434.515380859375,959.7918701171875,550.5999755859375,1701.799560546875,20010.0,,
2023-10-11 23:00:00,,,,,,,149.03599548339844,
2023-10-12 15:00:00,32384.724609375,2401.158935546875,945.6077880859375,533.7999877929688,1691.006103515625,19780.0,,
2023-10-12 23:00:00,,,,,,,149.7899932861328,
2023-10-15 15:00:00,31707.21875,2362.82421875,937.0973510742188,514.2000122070312,1665.82080078125,18970.0,,
2023-10-15 23:00:00,,,,,,,149.5659942626953,
2023-10-16 15:00:00,32084.6875,2383.734130859375,941.8253173828125,519.5,1687.408447265625,19410.0,,
2023-10-16 23:00:00,,,,,,,149.5780029296875,
2023-10-17 15:00:00,32123.400390625,2388.21484375,948.4446411132812,525.2999877929688,1691.006103515625,19460.0,,
2023-10-17 23:00:00,,,,,,,149.75900268554688,
2023-10-18 15:00:00,31533.00390625,2354.8583984375,937.0973510742188,513.7999877929688,1708.995361328125,18730.0,,
2023-10-18 23:00:00,,,,,,,149.74200439453125,
2023-10-19 15:00:00,31368.466796875,2346.394775390625,935.2060546875,512.2999877929688,1679.7628173828125,18515.0,,
2023-10-19 23:00:00,,,,,,,149.802001953125,
2023-10-22 15:00:00,31087.787109375,2328.471923828125,928.5868530273438,494.70001220703125,1668.5191650390625,18215.0,,
2023-10-22 23:00:00,,,,,,,149.8800048828125,
2023-10-23 15:00:00,31174.892578125,2329.4677734375,925.75,508.20001220703125,1666.7203369140625,18295.0,,
2023-10-23 23:00:00,,,,,,,149.7689971923828,
2023-10-24 15:00:00,31329.751953125,2344.403564453125,931.4236450195312,504.70001220703125,1678.8631591796875,18470.0,,
2023-10-24 23:00:00,,,,,,,149.85400390625,
2023-10-25 15:00:00,30652.24609375,2311.545166015625,922.9132080078125,490.5,1671.2178955078125,17695.0,,
2023-10-25 23:00:00,,,,,,,150.09800720214844,
2023-10-26 15:00:00,31097.46484375,2348.386474609375,941.8253173828125,498.6000061035156,1692.8050537109375,18190.0,,
2023-10-26 23:00:00,,,,,,,150.36599731445312,
2023-10-29 15:00:00,30778.0703125,2320.50634765625,924.804443359375,497.29998779296875,1665.82080078125,17815.0,,
2023-10-30 00:00:00,,,,,,,149.73300170898438,
2023-10-30 15:00:00,30942.607421875,2346.394775390625,937.0973510742188,504.20001220703125,1674.8155517578125,18030.0,,
2023-10-31 00:00:00,,,,,,,149.11099243164062,
2023-10-31 15:00:00,31649.146484375,2403.150390625,961.68310546875,501.3999938964844,1682.011474609375,18855.0,,
2023-11-01 00:00:00,,,,,,,151.29400634765625,
2023-11-01 15:00:00,32036.29296875,2415.09912109375,958.8463134765625,518.2000122070312,1695.953125,19290.0,,
2023-11-02 00:00:00,,,,,,,150.5749969482422,
2023-11-03 00:00:00,,,,,,,150.4969940185547,
2023-11-05 15:00:00,32752.51171875,2454.4296875,962.6287231445312,542.0,1696.4027099609375,20190.0,,
2023-11-06 00:00:00,,,,,,,149.44900512695312,
2023-11-06 15:00:00,32336.330078125,2424.060546875,951.2813720703125,541.0,1691.905517578125,19645.0,,
2023-11-07 00:00:00,,,,,,,149.98899841308594,
2023-11-07 15:00:00,32239.544921875,2397.674072265625,925.75,537.2999877929688,1681.1116943359375,19525.0,,
2023-11-08 00:00:00,,,,,,,150.39599609375,
2023-11-08 15:00:00,32742.83203125,2429.0390625,935.2060546875,537.5,1665.37109375,20160.0,,
2023-11-09 00:00:00,,,,,,,150.86399841308594,
2023-11-09 15:00:00,32646.046875,2431.0302734375,941.8253173828125,527.7000122070312,1668.069580078125,20050.0,,
2023-11-10 00:00:00,,,,,,,151.3489990234375,
2023-11-12 15:00:00,32636.369140625,2429.536865234375,945.6077880859375,526.4000244140625,1667.619873046875,20025.0,,
2023-11-13 00:00:00,,,,,,,151.468994140625,
2023-11-13 15:00:00,32810.58203125,2439.493896484375,952.22705078125,526.0,1684.709716796875,20195.0,,
2023-11-14 00:00:00,,,,,,,151.64599609375,
2023-11-14 15:00:00,33613.91015625,2468.86767578125,951.2813720703125,541.0999755859375,1698.651611328125,21200.0,,
2023-11-15 00:00:00,,,,,,,150.48500061035156,
2023-11-15 15:00:00,33468.73046875,2461.8974609375,950.3358154296875,537.0,1693.704345703125,21035.0,,
2023-11-16 00:00:00,,,,,,,151.21499633789062,
2023-11-16 15:00:00,33642.9453125,2485.79443359375,961.68310546875,538.7000122070312,1691.006103515625,21250.0,,
2023-11-17 00:00:00,,,,,,,150.7050018310547,
2023-11-19 15:00:00,33459.0546875,2468.369873046875,954.1182250976562,554.0,1690.5562744140625,20995.0,,
2023-11-20 00:00:00,,,,,,,149.94200134277344,
2023-11-20 15:00:00,33430.015625,2462.3955078125,949.3901977539062,564.2000122070312,1689.656982421875,21005.0,,
2023-11-21 00:00:00,,,,,,,148.36199951171875,
2023-11-21 15:00:00,33517.12109375,2472.3525390625,955.0639038085938,553.5,1686.5087890625,21090.0,,
2023-11-22 00:00:00,,,,,,,148.15199279785156,
2023-11-23 00:00:00,,,,,,,149.4600067138672,
2023-11-23 15:00:00,33720.375,2488.283935546875,962.6287231445312,556.0,1695.0535888671875,21325.0,,
2023-11-24 00:00:00,,,,,,,149.63499450683594,
2023-11-26 15:00:00,33497.765625,2479.322509765625,963.5742797851562,552.7999877929688,1694.6038818359375,21055.0,,
2023-11-27 00:00:00,,,,,,,149.5709991455078,
2023-11-27 15:00:00,33478.41015625,2473.845947265625,964.5199584960938,549.9000244140625,1695.5035400390625,21040.0,,
2023-11-28 00:00:00,,,,,,,148.45199584960938,
