date,ticker,shares,nav_jpy,aum_jpym,aum_method,tag,creation_unit_shares,redemption_unit_shares
2020-09-15,1551.T,,4536.4140625,11697.357930102156,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-09-16,1551.T,,4579.84814453125,11809.354762156096,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-09-17,1551.T,,4570.1953125,11784.464478828108,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-09-18,1551.T,,4555.7177734375,11747.13346053306,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-09-23,1551.T,,4565.3701171875,11772.02248480478,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-09-24,1551.T,,4531.58837890625,11684.91467702256,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-09-25,1551.T,,4546.06591796875,11722.245695317608,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-09-28,1551.T,,4546.06591796875,11722.245695317608,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-09-29,1551.T,,4594.32568359375,11846.685780451144,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-09-30,1551.T,,4623.28173828125,11921.350335153771,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-02,1551.T,,4546.06591796875,11722.245695317608,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-05,1551.T,,4517.10986328125,11647.58114061498,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-06,1551.T,,4521.9365234375,11660.026911807106,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-07,1551.T,,4541.23974609375,11709.801183181748,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-08,1551.T,,4555.7177734375,11747.13346053306,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-09,1551.T,,4637.759765625,11958.682612505083,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-12,1551.T,,4724.626953125,12182.673758500432,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-13,1551.T,,4700.4970703125,12120.453715933667,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-14,1551.T,,4724.626953125,12182.673758500432,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-15,1551.T,,4661.8896484375,12020.902655071852,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-16,1551.T,,4599.15185546875,11859.130292587004,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-19,1551.T,,4661.8896484375,12020.902655071852,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-20,1551.T,,4710.1494140625,12145.342740205388,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-21,1551.T,,4710.1494140625,12145.342740205388,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-22,1551.T,,4661.8896484375,12020.902655071852,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-23,1551.T,,4623.28173828125,11921.350335153771,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-26,1551.T,,4531.58837890625,11684.91467702256,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-27,1551.T,,4589.5,11834.242527371549,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-28,1551.T,,4599.15185546875,11859.130292587004,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-29,1551.T,,4575.02197265625,11796.910250020235,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-10-30,1551.T,,4507.45849609375,11622.694634455793,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-02,1551.T,,4464.02490234375,11510.69906145812,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-04,1551.T,,4541.23974609375,11709.801183181748,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-05,1551.T,,4632.93408203125,11946.23935942549,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-06,1551.T,,4710.1494140625,12145.342740205388,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-09,1551.T,,4714.974609375,12157.784734228713,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-10,1551.T,,4536.4140625,11697.357930102156,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-11,1551.T,,4517.10986328125,11647.58114061498,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-12,1551.T,,4541.23974609375,11709.801183181748,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-13,1551.T,,4584.673828125,11821.798015235689,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-16,1551.T,,4623.28173828125,11921.350335153771,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-17,1551.T,,4618.45556640625,11908.90582301791,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-18,1551.T,,4603.97802734375,11871.574804722863,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-19,1551.T,,4584.673828125,11821.798015235689,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-20,1551.T,,4613.6298828125,11896.462569938316,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-24,1551.T,,4700.4970703125,12120.453715933667,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-25,1551.T,,4666.71533203125,12033.345908151445,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-26,1551.T,,4695.67138671875,12108.010462854072,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-27,1551.T,,4739.10498046875,12220.006035851748,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-11-30,1551.T,,4797.0166015625,12369.333886200735,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-01,1551.T,,4777.712890625,12319.558355769828,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-02,1551.T,,4768.06103515625,12294.670590554375,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-03,1551.T,,4748.7568359375,12244.893801067201,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-04,1551.T,,4724.626953125,12182.673758500432,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-07,1551.T,,4686.01904296875,12083.121438582353,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-08,1551.T,,4753.5830078125,12257.338313203061,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-09,1551.T,,4864.580078125,12543.54950176518,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-10,1551.T,,4845.2763671875,12493.773971334273,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-11,1551.T,,4874.232421875,12568.438526036898,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-14,1551.T,,4932.14404296875,12717.766376385887,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-15,1551.T,,4922.49169921875,12692.877352114168,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-16,1551.T,,4951.4482421875,12767.54316587306,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-17,1551.T,,4922.49169921875,12692.877352114168,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-18,1551.T,,4941.7958984375,12742.65414160134,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-21,1551.T,,4854.92822265625,12518.661736549724,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-22,1551.T,,4772.88720703125,12307.115102690235,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-23,1551.T,,4883.8837890625,12593.325032196086,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-24,1551.T,,4903.18798828125,12643.10182168326,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-25,1551.T,,4922.49169921875,12692.877352114168,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-28,1551.T,,4912.83984375,12667.989586898713,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-29,1551.T,,4970.751953125,12817.318696303968,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2020-12-30,1551.T,,4961.10009765625,12792.430931088515,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-04,1551.T,,4961.10009765625,12792.430931088515,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-05,1551.T,,5047.96728515625,13016.422077083864,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-06,1551.T,,5115.53125,13190.638951704572,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-07,1551.T,,5212.05029296875,13439.517862915376,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-08,1551.T,,5231.35400390625,13489.293393346285,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-12,1551.T,,5163.79052734375,13315.077777781844,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
