2026-07-10T10:30:10.347508 Starting download for WDAY
2026-07-10T18:12:36.887970 OK 31,848 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20240801_rpt20240730_acc0001327811_24_000155.htm
2026-07-10T18:12:37.051822 OK 25,454 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20240705_rpt20240702_acc0001327811_24_000136.htm
2026-07-10T18:12:37.052001 SEC filings downloaded: 54
2026-07-10T18:12:42.233477 IR PDF URLs found: 134
2026-07-10T18:12:45.225050 OK 23,809,249 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-2019-financial-analyst-day-final.pdf
2026-07-10T18:12:49.912661 OK 39,211,158 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-2021-financial-analyst-day.pdf
2026-07-10T18:12:51.234406 OK 5,779,394 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-2022-financial-analyst-dayv2.pdf
2026-07-10T18:12:52.263182 OK 4,058,142 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-2023-financial-analyst-day.pdf
2026-07-10T18:12:52.540647 OK 172,066 bytes -> /workspace/WDAY/investor-documents/ir-wday/Q4-FY26-Earnings-Prepared-Remarks.pdf
2026-07-10T18:12:52.904263 OK 1,512,350 bytes -> /workspace/WDAY/investor-documents/ir-wday/Q4-FY26-Investor-Presentation.pdf
2026-07-10T18:12:53.199492 OK 258,313 bytes -> /workspace/WDAY/investor-documents/ir-wday/Q1-FY27-Earnings-Prepared-Remarks.pdf
2026-07-10T18:12:53.562048 OK 2,301,687 bytes -> /workspace/WDAY/investor-documents/ir-wday/Q1-FY27-Investor-Presentation.pdf
2026-07-10T18:12:54.243712 OK 726,231 bytes -> /workspace/WDAY/investor-documents/ir-wday/c80104cc-6189-4b7e-be55-d2bdadd661e9.pdf
2026-07-10T18:12:54.897448 OK 656,001 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-announces-fiscal-2013-third-quarter-financial-results-1.pdf
2026-07-10T18:12:55.516888 OK 907,280 bytes -> /workspace/WDAY/investor-documents/ir-wday/0093d4ab-c74f-40d6-92d4-2552a55cd877.pdf
2026-07-10T18:12:56.171531 OK 526,729 bytes -> /workspace/WDAY/investor-documents/ir-wday/fiscal-2013-annual-report-and-proxy-statement.pdf
2026-07-10T18:12:56.863740 OK 596,844 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-announces-fourth-quarter-and-full-year-fiscal-2013-financial-results.pdf
2026-07-10T18:12:57.486301 OK 324,047 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fourth-quarter-and-full-year-fiscal-2013-non-gaap-reconciliations.pdf
2026-07-10T18:12:58.101062 OK 501,549 bytes -> /workspace/WDAY/investor-documents/ir-wday/cb8bab1d-cd8c-4bab-b862-660dff51e59f.pdf
2026-07-10T18:12:58.666035 OK 490,027 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-announces-fiscal-2014-first-quarter-financial-results.pdf
2026-07-10T18:12:59.227375 OK 314,701 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2014-first-quarter-non-gaap-reconciliations.pdf
2026-07-10T18:12:59.882225 OK 508,401 bytes -> /workspace/WDAY/investor-documents/ir-wday/060aa6d1-13cc-493a-87f0-27f2d0929b59.pdf
