2026-07-09T20:33:30.220104 Starting download for BX
2026-07-09T20:33:44.138222 OK 24,291 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20251023_rpt20251023_acc0001193125_25_247643.htm
2026-07-09T20:33:44.478974 OK 29,434 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20251017_rpt20251016_acc0001193125_25_242655.htm
2026-07-09T20:33:44.690460 OK 24,634 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20250924_rpt20250924_acc0001193125_25_215457.htm
2026-07-09T20:33:45.029277 OK 24,341 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20250724_rpt20250724_acc0001193125_25_163805.htm
2026-07-09T20:33:45.367889 OK 25,245 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20250624_rpt20250624_acc0001193125_25_145785.htm
2026-07-09T20:33:45.647015 OK 24,106 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20250417_rpt20250417_acc0001193125_25_083472.htm
2026-07-09T20:33:45.852528 OK 25,402 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20250325_rpt20250325_acc0001193125_25_062559.htm
2026-07-09T20:33:46.244315 OK 23,811 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20250130_rpt20250130_acc0001193125_25_016236.htm
2026-07-09T20:33:46.660545 OK 25,590 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20241223_rpt20241223_acc0001193125_24_284196.htm
2026-07-09T20:33:46.868922 OK 37,460 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20241206_rpt20241206_acc0001193125_24_272512.htm
2026-07-09T20:33:47.080483 OK 25,403 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20241203_rpt20241202_acc0001193125_24_269114.htm
2026-07-09T20:33:47.331634 OK 25,061 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20241202_rpt20241202_acc0001193125_24_268451.htm
2026-07-09T20:33:47.564659 OK 597,424 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20241125_rpt20241122_acc0001193125_24_264461.htm
2026-07-09T20:33:47.946392 OK 21,884 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20241113_rpt20241108_acc0001193125_24_257241.htm
2026-07-09T20:33:48.238033 OK 23,551 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20241017_rpt20241017_acc0001193125_24_238418.htm
2026-07-09T20:33:48.419720 OK 24,878 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20240924_rpt20240924_acc0001193125_24_224792.htm
2026-07-09T20:33:48.724288 OK 23,791 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20240718_rpt20240718_acc0001193125_24_180721.htm
2026-07-09T20:33:48.906327 OK 26,158 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20240703_rpt20240703_acc0001193125_24_175031.htm
2026-07-09T20:33:48.906327 SEC filings downloaded: 49
2026-07-09T20:33:48.907327 IR PDF URLs found: 0
2026-07-09T20:33:48.907327 Done BX. SEC=49 IR=0/0
