2026-07-10T00:37:08.951856 Starting download for APTV
2026-07-10T00:39:19.187557 OK 2,036,976 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Unicredit-Automotive-Conference-2022.pdf
2026-07-10T00:39:20.317976 OK 3,144,420 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q2-2022-Earnings-Presentation.pdf
2026-07-10T00:39:21.163078 OK 1,330,489 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q3-2022-Earnings-Presentation.pdf
2026-07-10T00:39:22.037700 OK 879,323 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Stewardship-Outreach_Dec-2022.pdf
2026-07-10T00:39:22.881825 OK 532,362 bytes -> /workspace/APTV/investor-documents/ir-aptv/2023-Aptiv-Investor-Conference-Transcript.pdf
2026-07-10T00:39:26.957472 OK 31,762,315 bytes -> /workspace/APTV/investor-documents/ir-aptv/2023-Aptiv-Investor-Conference-new.pdf
2026-07-10T00:39:28.402695 OK 5,805,982 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q4-2022-Earnings-Presentation.pdf
2026-07-10T00:39:29.546878 OK 2,661,104 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q1-2023-Earnings-Presentation.pdf
2026-07-10T00:39:31.168998 OK 8,066,604 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q2-2023-Earnings-Presentation-1.pdf
2026-07-10T00:39:32.151535 OK 2,185,838 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-SMBC-Auto-Summit-2023.pdf
2026-07-10T00:39:33.592192 OK 6,159,747 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-and-Wind-River-Software-Teach-In-Presentation.pdf
2026-07-10T00:39:34.383831 OK 327,462 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-and-Wind-River-Software-Teach-In-Transcript.pdf
2026-07-10T00:39:35.662459 OK 5,083,038 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q3-2023-Earnings-Presentation.pdf
2026-07-10T00:39:36.819153 OK 3,701,509 bytes -> /workspace/APTV/investor-documents/ir-aptv/aptiv-stewardship-outreach_nov-2023.pdf
2026-07-10T00:39:37.807425 OK 2,287,056 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q4-2023-Earnings-Presentation.pdf
2026-07-10T00:39:38.612790 OK 268,478 bytes -> /workspace/APTV/investor-documents/ir-aptv/CES-2024-Aptiv-Investor-Event-Transcript.pdf
2026-07-10T00:39:39.801496 OK 3,682,572 bytes -> /workspace/APTV/investor-documents/ir-aptv/CES-2024-Aptiv-Investor-Event.pdf
2026-07-10T00:39:40.829310 OK 2,605,904 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q1-2024-Earnings-Presentation.pdf
2026-07-10T00:39:42.033169 OK 3,996,533 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-European-Credit-Conference-by-UniCredit-2024-vF.pdf
2026-07-10T00:39:42.771930 OK 275,785 bytes -> /workspace/APTV/investor-documents/ir-aptv/2024_Aptiv_Wind-River-Telecom-Teach-In_Transcript-vF.pdf
2026-07-10T00:39:43.872680 OK 2,926,419 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-_-Q2-2024-Earnings-Presentation.pdf
2026-07-10T00:39:44.602217 OK 370,853 bytes -> /workspace/APTV/investor-documents/ir-aptv/adas-roundtable-discussion_transcript.pdf
2026-07-10T00:39:45.653941 OK 2,159,185 bytes -> /workspace/APTV/investor-documents/ir-aptv/aptiv-adas-roundtable.pdf
2026-07-10T00:39:46.620366 OK 1,929,980 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q3-2024-Earnings-Presentation.pdf
2026-07-10T00:39:47.545655 OK 1,323,619 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Stewardship-Outreach_Dec-2024.pdf
2026-07-10T00:39:48.358576 OK 396,212 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Announces-Plan-to-Separate-EDS-Infographic.pdf
2026-07-10T00:39:49.205004 OK 536,901 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Announces-Plan-to-Separate-EDS.pdf
2026-07-10T00:39:50.302082 OK 1,693,271 bytes -> /workspace/APTV/investor-documents/ir-aptv/Aptiv-Q4-2024-Earnings-Presentation.pdf
