2026-07-10T10:30:20.041885 Starting download for XEL
2026-07-10T17:33:06.502167 OK 574,605 bytes -> /workspace/XEL/investor-documents/ir-xel/4e084663-6fe6-4d23-a8ca-f7bbf8088dab.pdf
2026-07-10T17:33:06.973017 OK 528,105 bytes -> /workspace/XEL/investor-documents/ir-xel/515e1f4e-c193-4d30-9c8a-19923d08ba7b.pdf
2026-07-10T17:33:07.338316 OK 716,717 bytes -> /workspace/XEL/investor-documents/ir-xel/53f32a90-b6ff-41aa-8909-cc5721296e84.pdf
2026-07-10T17:33:07.706941 OK 554,649 bytes -> /workspace/XEL/investor-documents/ir-xel/54afacf4-d7d8-4a9c-ab6a-8bc5cc750685.pdf
2026-07-10T17:33:08.139150 OK 654,292 bytes -> /workspace/XEL/investor-documents/ir-xel/6b85d6fd-6f72-4661-b03d-70f33a33d869.pdf
2026-07-10T17:33:08.507327 OK 610,248 bytes -> /workspace/XEL/investor-documents/ir-xel/736e4045-447d-4d4a-a719-35092d2ce6bd.pdf
2026-07-10T17:33:08.872290 OK 1,290,969 bytes -> /workspace/XEL/investor-documents/ir-xel/739c3b56-6cb9-4ebb-951d-525e9b643009.pdf
2026-07-10T17:33:09.306612 OK 1,968,831 bytes -> /workspace/XEL/investor-documents/ir-xel/73d91a44-51cb-4fa3-89a0-5ad1821f348c.pdf
2026-07-10T17:33:09.708284 OK 1,666,878 bytes -> /workspace/XEL/investor-documents/ir-xel/780e18a1-c76e-49bd-b1a0-7edd9f982560.pdf
2026-07-10T17:33:10.105889 OK 560,114 bytes -> /workspace/XEL/investor-documents/ir-xel/79e68a29-01d2-4a06-a59a-16d9408bbd71.pdf
2026-07-10T17:33:10.446891 OK 529,044 bytes -> /workspace/XEL/investor-documents/ir-xel/7f00a7f4-9d34-4796-889c-18f976d1167f.pdf
2026-07-10T17:33:10.841131 OK 1,873,667 bytes -> /workspace/XEL/investor-documents/ir-xel/8a4feed3-c03c-4c07-849c-c10bfe0f837d.pdf
2026-07-10T17:33:11.342943 OK 3,397,433 bytes -> /workspace/XEL/investor-documents/ir-xel/8b51bc1a-893c-46f7-ab54-8e0f1d2be82a.pdf
2026-07-10T17:33:11.681920 OK 532,615 bytes -> /workspace/XEL/investor-documents/ir-xel/8eabb282-bebc-4719-9dc4-97c2efc36162.pdf
2026-07-10T17:33:12.082117 OK 578,412 bytes -> /workspace/XEL/investor-documents/ir-xel/90bdeba9-a6a2-49ba-a114-3cdb5dc31146.pdf
2026-07-10T17:33:12.466783 OK 624,716 bytes -> /workspace/XEL/investor-documents/ir-xel/9c560e60-cdfa-4b3a-897e-db77c78876e5.pdf
2026-07-10T17:33:12.905456 OK 612,179 bytes -> /workspace/XEL/investor-documents/ir-xel/b3d92e55-d9e5-484e-ad72-70b044df6408.pdf
2026-07-10T17:33:13.328119 OK 1,629,947 bytes -> /workspace/XEL/investor-documents/ir-xel/b51a88cd-51b2-4153-8271-6f1cb654991c.pdf
2026-07-10T17:33:13.699748 OK 518,023 bytes -> /workspace/XEL/investor-documents/ir-xel/ba70b08a-cafb-487f-9e3f-360ba8a8a537.pdf
2026-07-10T17:33:14.057057 OK 591,575 bytes -> /workspace/XEL/investor-documents/ir-xel/c11705c0-9cd1-446f-8f41-bc19746fac3d.pdf
2026-07-10T17:33:14.446889 OK 628,707 bytes -> /workspace/XEL/investor-documents/ir-xel/c4b2674a-42ba-473c-bca6-68711646fb1d.pdf
2026-07-10T17:33:14.821192 OK 552,033 bytes -> /workspace/XEL/investor-documents/ir-xel/c9586403-5105-4c0d-8271-311d3c9ff257.pdf
2026-07-10T17:33:15.249994 OK 623,615 bytes -> /workspace/XEL/investor-documents/ir-xel/cd68dcf2-ed9a-46e9-a3d9-a886c1f4dcae.pdf
2026-07-10T17:33:15.634188 OK 515,876 bytes -> /workspace/XEL/investor-documents/ir-xel/ddd7cdd1-2c78-4061-9828-2b0a9bff2819.pdf
2026-07-10T17:33:16.042585 OK 1,398,407 bytes -> /workspace/XEL/investor-documents/ir-xel/df7f755a-c377-46da-8783-5e073cd46982.pdf
2026-07-10T17:33:16.434977 OK 605,028 bytes -> /workspace/XEL/investor-documents/ir-xel/dfd0fff9-d6b9-4b68-a1d1-0377c1a2d0fe.pdf
2026-07-10T17:33:16.888385 OK 5,216,362 bytes -> /workspace/XEL/investor-documents/ir-xel/e3289f4f-768c-4d54-b8ec-d48a6088805d.pdf
2026-07-10T17:33:17.350552 OK 1,489,857 bytes -> /workspace/XEL/investor-documents/ir-xel/f1732615-a645-414d-8f3a-e736b1779efd.pdf
2026-07-10T17:33:18.412526 OK 4,326,564 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Investor-Fact-Book-2025-Year-End.pdf
2026-07-10T17:33:19.072001 OK 737,609 bytes -> /workspace/XEL/investor-documents/ir-xel/3Q-2020-Earnings-Presentation.pdf
2026-07-10T17:33:19.647034 OK 309,050 bytes -> /workspace/XEL/investor-documents/ir-xel/3Q-2020-Earnings-Report.pdf
2026-07-10T17:33:20.295591 OK 828,128 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2021-Q1-Final.pdf
2026-07-10T17:33:20.872035 OK 234,661 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Release-2021-Q1-Final.pdf
2026-07-10T17:33:21.450416 OK 262,062 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-2021-Q2-Final.pdf
2026-07-10T17:33:22.084002 OK 767,828 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2021-Q2.pdf
2026-07-10T17:33:22.717781 OK 281,720 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-2021-Q3-Final.pdf
2026-07-10T17:33:23.321322 OK 779,616 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2021-Q3-Final.pdf
2026-07-10T17:33:23.871898 OK 300,672 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-Q4-2021-For-Business-Wire.pdf
2026-07-10T17:33:24.563137 OK 879,103 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2021-Q4.pdf
2026-07-10T17:33:25.282032 OK 248,681 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-2022-Q1-Final.pdf
2026-07-10T17:33:26.038829 OK 793,776 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2022-Q1.pdf
2026-07-10T17:33:26.630181 OK 275,094 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-2022-Q2-Final.pdf
2026-07-10T17:33:27.271103 OK 294,761 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-2022-Q3-Final.pdf
2026-07-10T17:33:27.917426 OK 830,190 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2022-Q3.pdf
2026-07-10T17:33:28.543792 OK 477,816 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2022-Q4-Final.pdf
2026-07-10T17:33:29.191825 OK 285,151 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Release-2022-Q4-Final.pdf
2026-07-10T17:33:29.826303 OK 243,030 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-2023-Q1-Final.pdf
2026-07-10T17:33:30.487825 OK 454,711 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2023-Q1.pdf
2026-07-10T17:33:33.602062 OK 25,913,883 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2013.pdf
2026-07-10T17:33:34.279422 OK 103,346 bytes -> /workspace/XEL/investor-documents/ir-xel/Q1-2013-Earnings-Presentation.pdf
2026-07-10T17:33:34.931999 OK 395,158 bytes -> /workspace/XEL/investor-documents/ir-xel/Q2-2013-Earnings-Presentation.pdf
2026-07-10T17:33:35.516254 OK 326,940 bytes -> /workspace/XEL/investor-documents/ir-xel/Q3-2013-Earnings-Presentation.pdf
2026-07-10T17:33:36.163320 OK 200,142 bytes -> /workspace/XEL/investor-documents/ir-xel/Q4-2013-Earnings-Presentation.pdf
2026-07-10T17:33:37.118254 OK 2,471,780 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2014.pdf
2026-07-10T17:33:37.632132 OK 85,431 bytes -> /workspace/XEL/investor-documents/ir-xel/Q1-2014-Earnings-Presentation.pdf
2026-07-10T17:33:38.166024 OK 102,194 bytes -> /workspace/XEL/investor-documents/ir-xel/Q2-2014-Earnings-Presentation.pdf
2026-07-10T17:33:38.687164 OK 261,465 bytes -> /workspace/XEL/investor-documents/ir-xel/Q3-2014-Earnings-Presentation.pdf
