2026-07-02T10:35:30.822286 Starting download for ASPN
2026-07-02T10:36:42.667107 OK 293,686 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Q1-2019-Earnings-Call_Corrected-Transcript_2019-05-03-10-12-09.pdf
2026-07-02T10:36:56.928467 OK 475,336 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen2019SecondQtr.pdf
2026-07-02T10:36:57.712472 OK 296,180 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Q2-2019-Earnings-Call_Corrected-Transcript_2019-08-02-11-04-07.pdf
2026-07-02T10:37:01.735741 OK 472,380 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen2019ThirdQtr.pdf
2026-07-02T10:37:07.149059 OK 949,541 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\6c869d76-033a-48f4-8192-5f8e1062f313.pdf
2026-07-02T10:37:14.277836 OK 8,141,653 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspn-10k_2020_AR.pdf
2026-07-02T10:37:15.045999 OK 555,918 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\6481ebe6-e520-45fc-983a-764ff8e1c3d8.pdf
2026-07-02T10:37:15.732460 OK 335,218 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q1-2020-earnings-call-apr-30-2020.pdf
2026-07-02T10:37:16.555267 OK 472,997 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\20q2-10q.pdf
2026-07-02T10:37:17.628800 OK 354,907 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q2-2020-earnings-call-jul-30-2020.pdf
2026-07-02T10:37:18.361260 OK 697,106 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\20q3-10q.pdf
2026-07-02T10:37:19.092694 OK 355,167 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q3-2020-earnings-call-oct-29-2020.pdf
2026-07-02T10:37:19.851799 OK 334,513 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels_-Inc._-Q4-2020-Earnings-Call_-Feb-18_-2021.pdf
2026-07-02T10:37:23.413081 OK 8,354,016 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspn-10k_20201231.htm.pdf
2026-07-02T10:37:24.076912 OK 614,604 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN-2021-Shareholder-Letter.pdf
2026-07-02T10:37:24.640087 OK 508,241 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\21Q1-10Q.pdf
2026-07-02T10:37:25.298578 OK 339,687 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q1-2021-earnings-call-apr-29-2021-_1_.pdf
2026-07-02T10:37:25.978786 OK 516,491 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\28b7b35f-b455-48a6-a7bd-93cbb9694719.pdf
2026-07-02T10:37:26.567050 OK 323,519 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q2-2021-earnings-call-jul-29-2021.pdf
2026-07-02T10:37:27.120572 OK 350,315 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\10_28_21-aspn-q3-2021-transcript.pdf
2026-07-02T10:37:27.683123 OK 521,469 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\e06966d6-c886-44e2-905a-369e399d1976.pdf
2026-07-02T10:37:28.163929 OK 110,717 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\02_17_22-aspn-q4_21-transcript-_standard_.pdf
2026-07-02T10:37:29.807454 OK 4,258,413 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q4-2021-Earnings-Deck-Final-Version.pdf
2026-07-02T10:37:30.689261 OK 1,177,096 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\a62f9775-c95d-4434-b74d-685ce3b06108.pdf
2026-07-02T10:37:36.586430 OK 2,586,859 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\7d0242fb-5a6a-4e66-b2a0-305eb30dc2cc.pdf
2026-07-02T10:37:37.207341 OK 373,916 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-2022-letter-to-shareholders.pdf
2026-07-02T10:37:39.138760 OK 4,480,280 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\04_22_22-ASPN_Q1-2022-Earnings-Deck_Final-UPLOAD-to-IR-SITE.pdf
2026-07-02T10:37:40.208406 OK 468,813 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\16Q4-transcript.pdf
2026-07-02T10:37:40.901374 OK 430,385 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\17q1-10q.pdf
2026-07-02T10:37:41.650846 OK 480,348 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen2019FirstQtr.pdf
2026-07-02T10:37:42.312882 OK 375,229 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q1-2022-earnings-call-apr-28-2022.pdf
2026-07-02T10:37:44.414443 OK 3,512,856 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspn-10q_20220331.htm.pdf
2026-07-02T10:37:45.288165 OK 196,891 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\07_28_22-aspn-q2-2022-transcript.pdf
2026-07-02T10:37:46.262826 OK 602,606 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\44f55cfd-53d6-4b8f-b1f1-c037de556d6d.pdf
2026-07-02T10:37:48.359800 OK 3,244,085 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q2-2022-Earnings-Deck_-Final-Website.pdf
2026-07-02T10:37:49.374895 OK 339,537 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\10_26_22-ASPN-Q3-2022-EPR-FINAL.pdf
2026-07-02T10:37:49.985612 OK 328,247 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\10_27_22-ASPN-Q3-2022-Transcript.pdf
2026-07-02T10:37:54.955300 OK 2,561,414 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q3-2022-Earnings-Deck_Final.pdf
2026-07-02T10:37:55.717017 OK 618,274 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\a060abdd-cd27-4626-af68-8817dbeb04c4.pdf
2026-07-02T10:37:56.257015 OK 376,540 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\02_15_23-ASPN-Q4-2022-Financial-Results-_Final_.pdf
2026-07-02T10:37:56.804504 OK 361,298 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\02_16_23-aspn-q4-2022-transcript.pdf
2026-07-02T10:37:57.933732 OK 1,916,029 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q4-FY-2022-Earnings-Deck-Final.pdf
2026-07-02T10:37:59.374051 OK 2,586,859 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Q4-Aspen-22.pdf
2026-07-02T10:38:01.376336 OK 5,167,685 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspn-ars-2023-annual-report-color-stockholder-letter.pdf
2026-07-02T10:38:02.124078 OK 439,106 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\6650eab9-8134-4ea4-b6b2-07f631cefa7e.pdf
2026-07-02T10:38:03.286548 OK 2,255,646 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q1-FY-2023-Earnings-Deck-Q4-ASPN-Website.pdf
2026-07-02T10:38:05.497685 OK 349,268 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels-Inc-Q1-2023-Earnings-Call-May-04-2023.pdf
2026-07-02T10:38:07.303339 OK 491,471 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\907e1a65-bcc6-4d26-8e57-afb14bd8917f.pdf
2026-07-02T10:38:08.550656 OK 386,090 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc-q2-2023-earnings-call-aug-03-2023.pdf
2026-07-02T10:38:09.557163 OK 2,034,651 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspn_q2-fy-2023-earnings-final.pdf
2026-07-02T10:38:11.185774 OK 1,535,386 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\1f2b99c8-3aa6-4a09-ad23-ef65ae5314dc.pdf
2026-07-02T10:38:11.307965 SKIP exists -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q3-FY-2023-Earnings-FINAL_2-for-Website.pdf
2026-07-02T10:38:14.282023 OK 351,196 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc-q3-2023-earnings-call-nov-02-2023.pdf
2026-07-02T10:38:15.337090 OK 2,243,123 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q4-FY-2023-Earnings-vFinal_PDF_3.pdf
2026-07-02T10:38:15.928365 OK 373,337 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels-Inc-Q4-2023-Earnings-Call-Feb-13-2024.pdf
2026-07-02T10:38:16.889231 OK 1,040,930 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\2024-Annual-Report-2.pdf
2026-07-02T10:38:17.479554 OK 436,424 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\17e2dac8-b05d-4f1e-a061-00fc7be01ddb.pdf
2026-07-02T10:38:18.838785 OK 2,683,595 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q1-2024-Earnings-Final-for-Loading-on-Website-vF.pdf
2026-07-02T10:38:19.425062 OK 345,096 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc-q1-2024-earnings-call-may-02-2024.pdf
2026-07-02T10:38:20.906968 OK 2,234,362 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q2-2024-Earnings-vFinal-2.pdf
2026-07-02T10:38:21.496253 OK 371,408 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels-Inc-Q2-2024-Earnings-Call-Aug-08-2024.pdf
2026-07-02T10:38:22.131774 OK 525,118 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\a1a06657-c727-4909-b1d3-1b8a9f802e2e.pdf
2026-07-02T10:38:22.258990 SKIP exists -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q3-2024-Earnings-v1.pdf
2026-07-02T10:38:22.910697 OK 388,916 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels-Inc-Q3-2024-Earnings-Call-Nov-07-2024.pdf
2026-07-02T10:38:23.537345 OK 525,561 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\dbb8da52-79f0-44f6-8c4e-2e0356e0d8aa.pdf
2026-07-02T10:38:30.382436 OK 28,126,813 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\5f7f1afb-a4ce-4ae9-b21d-f339450194fb.pdf
2026-07-02T10:38:35.678647 OK 2,466,107 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q4-2024-Earnings-vF-Website.pdf
2026-07-02T10:38:36.054372 OK 293,466 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\TRANSCRIPT-Aspen-Aerogels-Inc-ASPN-US-Q4-2024-Earnings-Call-13-February-2025-830-AM-ET.pdf
2026-07-02T10:38:37.475015 OK 3,524,891 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\2025-Annual-Report-ASPN.pdf
2026-07-02T10:38:38.205659 OK 769,637 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\2025-Notice-of-Annual-Meeting-ASPN.pdf
2026-07-02T10:38:39.078974 OK 2,088,633 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\2025-Proxy-Statement-ASPN.pdf
2026-07-02T10:38:39.525441 OK 100,064 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Proxy-Card-Pg-1.pdf
2026-07-02T10:38:40.028007 OK 153,021 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\1Q25-Earnings-Transcript-Aspen-Aerogels.pdf
2026-07-02T10:38:41.424062 OK 3,580,368 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q1-2025-Earnings-vF-PDF.pdf
2026-07-02T10:38:42.272326 OK 1,867,068 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\b4b9ce6a-3d6f-44df-a59c-14eb0ea9a512.pdf
2026-07-02T10:38:42.817429 OK 118,473 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\2Q25-Earnings-Transcript-Aspen-Aerogels.pdf
2026-07-02T10:38:43.703916 OK 1,946,398 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q2-2025-Earnings-vF.pdf
2026-07-02T10:38:44.172860 OK 511,001 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\d1296dcb-b8ab-45de-83a5-6b6f30a7bd85.pdf
2026-07-02T10:38:44.718192 OK 348,856 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\37147edd-e1b7-4d1c-8e55-aec428c4bcf8.pdf
2026-07-02T10:38:45.372037 OK 106,387 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\3Q25-Earnings-Transcript-Aspen-Aerogels.pdf
2026-07-02T10:38:46.314357 OK 2,234,398 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q3-2025-Earnings-vF-Website.pdf
2026-07-02T10:38:47.501771 OK 2,670,734 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q4-FY-2025-Earnings-vF.pdf
2026-07-02T10:38:47.963910 OK 277,034 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\CORRECTED-TRANSCRIPT_-Aspen-Aerogels-Inc-ASPN-US-Q4-2025-Earnings-Call-25-February-2026-8_30-AM-ET-1.pdf
2026-07-02T10:38:48.977372 OK 2,124,185 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN-Q1-2026-Earnings-vF.pdf
2026-07-02T10:38:49.099615 SKIP exists -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q3-2022-Earnings-Deck_Final.pdf
2026-07-02T10:38:50.562610 OK 1,496,118 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\MidCap-Transaction-Announcement-vF-for_Website.pdf
2026-07-02T10:38:50.562610 Done ASPN. SEC=0 IR=131/131
