2026-06-06T23:35:01.181423 Starting download for LMNR
2026-06-06T23:36:37.426230 OK 12,459 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250609_exhibit_tm2517481d1_ex99-1.htm_acc0001104659_25_057828.htm
2026-06-06T23:36:37.586173 OK 28,713 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250609_rpt20250609_acc0001342423_25_000018.htm
2026-06-06T23:36:37.766768 OK 305,448 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250609_exhibit_lmnr43025erex991.htm_acc0001342423_25_000018.htm
2026-06-06T23:36:37.913758 OK 36,935 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250410_rpt20250409_acc0001104659_25_033784.htm
2026-06-06T23:36:38.105763 OK 26,746 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_rpt20250409_acc0001104659_25_033241.htm
2026-06-06T23:36:38.302185 OK 48,923 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1.htm_acc0001104659_25_033241.htm
2026-06-06T23:36:38.657973 OK 1,200,953 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img001.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:39.047968 OK 898,914 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img002.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:39.442270 OK 516,778 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img003.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:39.887156 OK 1,202,182 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img004.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:40.246007 OK 1,094,219 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img005.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:40.581764 OK 463,288 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img006.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:40.946601 OK 578,919 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img007.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:41.253205 OK 700,460 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img008.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:41.580389 OK 1,152,823 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img009.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:41.899277 OK 731,042 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img010.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:42.334785 OK 1,151,862 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img011.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:42.535222 OK 1,186,492 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img012.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:42.853728 OK 965,262 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img013.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:43.270222 OK 575,199 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img014.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:43.639049 OK 256,126 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img015.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:43.963503 OK 932,243 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img016.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:44.312460 OK 380,329 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img017.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:44.696568 OK 543,442 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img018.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:45.077135 OK 1,394,991 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img019.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:45.599440 OK 1,333,047 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img020.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:45.910723 OK 1,285,943 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img021.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:46.324550 OK 1,263,984 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img022.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:46.652760 OK 1,346,454 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img023.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:47.103237 OK 1,321,288 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img024.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:47.500362 OK 1,314,659 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img025.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:47.825619 OK 1,558,755 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img026.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:48.167369 OK 1,004,145 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img027.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:48.484551 OK 483,824 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img028.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:48.815897 OK 868,266 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img029.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:49.127791 OK 1,562,074 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img030.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:49.491986 OK 1,609,877 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img031.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:49.820981 OK 1,669,248 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img032.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:50.191495 OK 274,926 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img033.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:50.559388 OK 1,104,344 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img034.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:50.906736 OK 702,166 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img035.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:51.262324 OK 641,147 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img036.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:51.649158 OK 679,613 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img037.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:51.997731 OK 836,247 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img038.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:52.306926 OK 546,938 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img039.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:52.625976 OK 461,767 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img040.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:52.976538 OK 576,666 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img041.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:53.392362 OK 863,028 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img042.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:53.814496 OK 522,105 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img043.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:54.244789 OK 283,006 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img044.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:54.431976 OK 370,587 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img045.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:54.807047 OK 587,914 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img046.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:55.120096 OK 682,734 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img047.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:55.413162 OK 676,542 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img048.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:55.794051 OK 948,060 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img049.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:56.095222 OK 459,584 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img050.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:56.457006 OK 613,555 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img051.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:56.823806 OK 574,314 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img052.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:57.181260 OK 673,805 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img053.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:57.495517 OK 583,688 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img054.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:57.859800 OK 835,574 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img055.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:58.064234 OK 463,386 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img056.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:58.436904 OK 789,937 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img057.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:58.620369 OK 10,063 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-2.htm_acc0001104659_25_033241.htm
2026-06-06T23:36:58.792264 OK 24,483 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250408_rpt20250408_acc0001104659_25_032888.htm
2026-06-06T23:36:59.209020 OK 11,874 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250408_exhibit_tm2511766d1_ex99-1.htm_acc0001104659_25_032888.htm
2026-06-06T23:36:59.374463 OK 25,259 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250317_rpt20250314_acc0001104659_25_024233.htm
2026-06-06T23:36:59.700296 OK 10,148 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250317_exhibit_tm259416d1_ex99-1.htm_acc0001104659_25_024233.htm
2026-06-06T23:36:59.862181 OK 28,723 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250312_rpt20250312_acc0001342423_25_000008.htm
2026-06-06T23:37:00.091208 OK 258,330 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250312_exhibit_lmnr13125erex991.htm_acc0001342423_25_000008.htm
2026-06-06T23:37:00.248580 OK 24,139 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250307_rpt20250301_acc0001104659_25_021557.htm
2026-06-06T23:37:00.450036 OK 28,736 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20241223_rpt20241223_acc0001342423_24_000034.htm
2026-06-06T23:37:00.667857 OK 317,488 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20241223_exhibit_lmnr103124erex991.htm_acc0001342423_24_000034.htm
2026-06-06T23:37:00.668131 SEC filings downloaded: 128
2026-06-06T23:37:01.037757 IR PDF URLs found: 0
2026-06-06T23:37:01.038818 Done LMNR. SEC=128 IR=0/0
